Spec1,Spec2,Spec3,Spec4
-886.7101953125,15.28995117,-68.97702124,6.600097656
-164.1201953125,12.61995117,-42.54390022,17.13855919
262.2798046875,14.56995117,-37.1107792,14.60009766
-293.7701953125,15.80995117,-52.56937792,12.60009766
-483.3101953125,11.27995117,-60.23179831,9.830866887
-475.4201953125,11.21995117,-62.02160722,22.52317458
-294.5701953125,12.07995117,-53.90695754,15.52317458
-331.9401953125,11.55995117,-55.66491932,5.215482272
-242.3301953125,12.74995117,-51.09804034,14.13855919
-238.0201953125,9.419951172,-53.28275372,14.83086689
-717.0101953125,12.15995117,-64.07893206,9.830866887
185.5198046875,11.54995117,-34.8496327,5.984713041
-44.0701953125,11.87995117,-30.97065181,10.13855919
-247.7701953125,10.43995117,-43.96428238,9.75394381
40.0398046875,12.18995117,-32.63307219,10.83086689
-52.9401953125,10.27995117,-22.00886837,9.984713041
-428.5901953125,10.13995117,-14.9451741,8.830866887
-80.5201953125,10.70995117,745.1694756,14.83086689
647.8298046875,11.09995117,4010.379667,10.90778996
-285.4301953125,8.509951172,466.1631062,11.67702073
162.6298046875,13.93995117,27.71087685,6.984713041
115.4798046875,12.06995117,-3.078932064,11.52317458
46.1298046875,11.32995117,-19.6585499,12.13855919
-474.2601953125,10.79995117,-35.16173461,15.90778996
138.5298046875,13.63995117,-2.760460726,6.215482272
-118.5101953125,14.43995117,28.43062208,10.98471304
-467.7601953125,11.29995117,498.7363546,5.600097656
137.5798046875,16.28995117,5177.749093,5.984713041
293.8198046875,14.77995117,3210.061195,7.138559195
-725.0501953125,14.96995117,138.0803036,12.36932843
107.2498046875,16.07995117,17.63444373,2.446251502
-871.5301953125,10.46995117,-44.23816773,9.446251502
-253.0301953125,16.49995117,-39.79867729,10.21548227
-238.6401953125,17.39995117,-35.76046073,10.67702073
-687.5401953125,19.56995117,-60.43561996,5.138559195
-111.3801953125,19.20995117,-42.47383652,3.369328425
74.0798046875,16.42995117,-43.66491932,11.4462515
-529.9701953125,16.98995117,-57.97065181,9.138559195
-217.2801953125,14.74995117,-49.64581104,3.677020733
-501.5101953125,18.53995117,-59.41014225,6.292405349
-443.3601953125,19.65995117,-51.46109767,6.292405349
-280.1601953125,17.68995117,-57.88784926,8.907789964
-247.7501953125,20.83995117,-55.58211678,5.830866887
-622.1801953125,17.32995117,-66.78593843,10.67702073
-229.3801953125,22.34995117,-50.90058811,11.06163612
-210.8801953125,23.13995117,-51.61396391,12.21548227
-505.7801953125,23.50995117,-68.10440977,8.369328425
-184.8501953125,37.18995117,-49.301862,10.83086689
-236.8101953125,40.25995117,-52.93880468,8.369328425
-246.0501953125,41.59995117,-56.61396391,6.677020733
0.2398046875,48.52995117,-47.10440977,10.67702073
-145.7801953125,59.06995117,-55.44198939,8.523174579
-278.2501953125,70.00995117,-56.35918684,8.75394381
-77.5301953125,79.76995117,-51.5630085,8.446251502
250.2698046875,116.8599512,-38.07893206,8.830866887
-434.8801953125,166.9799512,-62.85600213,10.75394381
-227.9901953125,227.3599512,-57.96428238,13.13855919
-22.5301953125,392.9799512,-49.59485563,9.369328425
-392.9401953125,1155.499951,-61.44198939,6.984713041
-210.9201953125,5568.709951,-53.23816773,5.369328425
193.6098046875,20430.01995,-42.38466455,9.523174579
-529.6501953125,14430.91995,-65.05345436,7.75394381
-191.6701953125,1471.479951,-57.55663907,5.600097656
-26.6101953125,460.7699512,-52.69676646,6.984713041
-146.9401953125,222.3499512,-53.98339066,4.292405349
55.8598046875,159.2199512,-46.28912315,9.907789964
-232.3501953125,129.1099512,-58.74772187,6.830866887
-377.2201953125,89.33995117,-62.8496327,8.061636118
-457.6501953125,74.23995117,-64.65218047,11.4462515
-596.3601953125,60.07995117,-72.08530149,1.369328425
-337.0501953125,63.85995117,-59.95791296,5.523174579
-355.5401953125,54.14995117,-59.301862,8.984713041
-565.3201953125,44.67995117,-65.86237155,14.06163612
-199.4001953125,38.50995117,-57.81141614,10.90778996
-72.6701953125,39.11995117,-51.27638429,8.138559195
-418.5501953125,34.87995117,-67.7540913,8.215482272
264.4798046875,31.75995117,-44.40377283,7.292405349
54.8898046875,25.06995117,-47.16173461,10.21548227
200.4298046875,24.27995117,-44.8496327,5.677020733
-262.4901953125,22.42995117,-59.25090659,10.60009766
-9.2901953125,23.83995117,-53.72861359,8.75394381
-299.9001953125,19.24995117,-63.92606582,10.29240535
37.3498046875,19.57995117,-50.14899576,8.215482272
-269.6801953125,15.42995117,-58.21905945,2.215482272
12.6298046875,16.16995117,-50.22542888,13.13855919
-913.6101953125,16.35995117,-84.0407155,13.06163612
44.5298046875,17.09995117,-52.84326327,12.90778996
-5.7401953125,16.68995117,-54.50568366,11.75394381
-379.4101953125,16.53995117,-68.27001487,12.52317458
108.8998046875,15.75995117,-53.45472824,14.06163612
149.9098046875,13.54995117,-57.27638429,9.446251502
552.8098046875,15.71995117,-39.69039703,13.13855919
-245.4401953125,12.84995117,-63.93880468,15.60009766
17.3498046875,15.07995117,-60.73498302,14.52317458
149.5598046875,15.08995117,-58.27638429,19.06163612
156.7398046875,10.45995117,-57.65218047,28.21548227
376.4498046875,12.55995117,-50.59485563,29.52317458
555.6698046875,14.28995117,-42.03434608,29.13855919
-426.6601953125,12.05995117,-70.18721232,22.21548227
463.3298046875,14.72995117,-43.44835882,33.29240535
321.8698046875,12.65995117,-48.00249894,71.60009766
-468.0601953125,8.969951172,-73.66491932,345.4462515
23617.0698046875,13.76995117,-50.2063206,963.2924053
25059.8298046875,11.05995117,-61.97702124,2461.984713
25109.5698046875,12.28995117,-56.32733971,1533.90779
25205.6798046875,11.87995117,-50.23179831,110.984713
25240.9398046875,10.99995117,-61.5884862,55.13855919
8565.6598046875,13.06995117,-28.02160722,38.83086689
6351.0998046875,12.33995117,-63.70950531,19.90778996
4068.8298046875,11.39995117,-56.74772187,25.60009766
1190.2798046875,11.12995117,-65.14899576,18.90778996
1860.4998046875,10.08995117,-69.84326327,20.67702073
1870.8698046875,11.74995117,-60.05982378,17.83086689
1335.9798046875,10.62995117,-53.18721232,7.75394381
631.0898046875,12.64995117,-67.58211678,14.13855919
1251.0698046875,11.75995117,-60.4674671,15.4462515
1370.8098046875,9.119951172,-49.96428238,14.4462515
908.4498046875,9.799951172,-56.25090659,10.98471304
316.9798046875,12.97995117,-62.6585499,8.138559195
426.2398046875,8.049951172,-62.41651168,14.60009766
382.8098046875,8.549951172,-64.5630085,9.907789964
134.2198046875,12.37995117,-73.60122506,3.830866887
765.4398046875,12.22995117,-36.42925053,12.06163612
484.3298046875,10.43995117,-51.00249894,11.67702073
845.4798046875,12.31995117,-47.14899576,3.292405349
454.6398046875,10.66995117,-56.84326327,13.36932843
592.0298046875,13.33995117,-53.22542888,7.907789964
-49.2601953125,5.919951172,-67.83689385,5.369328425
-310.6801953125,6.629951172,-79.4929448,10.60009766
365.2398046875,11.05995117,-53.02797665,16.52317458
106.1598046875,9.769951172,-62.50568366,3.75394381
-222.5601953125,7.719951172,-78.05982378,7.369328425
843.9398046875,10.21995117,-42.44835882,10.13855919
13.9398046875,9.069951172,-56.07893206,4.523174579
352.4698046875,11.38995117,-54.29549257,10.83086689
-144.7501953125,12.10995117,-67.6840276,8.523174579
500.2598046875,9.999951172,-40.93880468,8.061636118
40.3098046875,9.789951172,-53.88784926,10.90778996
-461.2001953125,7.569951172,-69.0152378,11.06163612
-381.8401953125,9.249951172,-59.50568366,4.600097656
-213.4801953125,11.06995117,-61.72224417,14.90778996
-130.6901953125,10.80995117,-59.67765818,8.677020733
-70.2201953125,9.149951172,-59.69676646,1.75394381
-135.1101953125,8.629951172,-58.30823143,4.677020733
-251.3801953125,8.639951172,-69.70950531,5.677020733
-15.4201953125,8.249951172,-56.23179831,11.21548227
-91.5301953125,8.159951172,-59.66491932,3.677020733
-271.6301953125,8.199951172,-68.53753079,15.21548227
-127.5501953125,10.22995117,-61.18721232,5.600097656
-41.1301953125,9.969951172,-50.53116136,9.292405349
-161.7301953125,7.589951172,-60.28912315,9.75394381
362.6198046875,9.389951172,-45.42925053,9.600097656
84.4798046875,8.169951172,-51.6840276,9.677020733
408.0098046875,8.539951172,-39.47383652,9.907789964
-146.7901953125,10.41995117,-64.63944162,9.215482272
49.2398046875,8.399951172,-61.59485563,10.67702073
-120.6401953125,8.139951172,-61.16173461,7.75394381
-59.8701953125,8.339951172,-66.42288111,6.369328425
174.0698046875,10.58995117,-55.28912315,5.907789964
